# 손으로 쓴 개별 축약 — `id <TAB> 번역문`
# 자동 규칙(fix_tsv.py)으로는 예산에 못 넣는 행을 하나씩 다시 쓴다.
# ★축약 단계 «전»에 적용되므로, 여기 쓴 문장이 예산에 맞으면 자동 규칙이 건드리지 않는다.
# ⚠개행은 반드시 «백슬래시 + n» 두 글자로 쓴다. 진짜 줄바꿈을 넣으면 파일이 깨진다.
# 검사: python tools/build_all.py  ->  work/build_errors.txt
#
# --- 05_아이템명 : 속성·설명 라벨 ---
SYS01814	저주 안 받음
SYS01498	가지고가기족자
SYS01145	단련나무방패
SYS01146	단련나무방패
SGL05DA0A	방
SGL05DA12	살
SGL05DA32	독
SYS01052	에레키
SYS01120	수레바퀴칼
SYS01122	천신악검
SYS01128	쇠약가지
SYS01141	피방패
SYS01261	×백발백중팔찌
SYS01387	도약풀
SYS01749	금빛구르는돌
SYS01757	안주의흑주
SYS01759	운명뿔피리
SYS01768	벽을 뚫지만 가끔 부서진다
SYS01770	회심 일격이 잘 나옴
SYS01776	먹을수있다
SYS01777	씹어먹기
SYS01783	공격마다 공격력 감소
SYS01788	안부서지고 벽 뚫기
SYS01791	안부서지고 함정 부수기
SYS01795	맞으면 자신이 물러난다
SYS01797	적에게 던져도 안없어짐
SYS01801	공격하면 적이 쇠약해진다
SYS01804	HP 가득 차면 불꽃을 날린다
SYS01807	공격력 조금 상승
SYS01808	공격력 하락
SYS01815	공격한 적 정체를 안다
SYS01820	적 마법 튕겨냄
SYS01823	데미지 일부를 되받음
SYS01827	안 도둑맞음
SYS01828	불꽃 데미지 감소
SYS01834	저주 안 받음
SYS01835	함정에 안 걸림
SYS01841	무거워서 안 밀려남
SYS01843	전기가 전달 안 됨
SYS01844	데미지 전부 되받음
SYS01848	불꽃 데미지 감소
SYS01852	방어력 하락
SYS01857	공격해온 적 정체를 안다
SYS01858	쓰러져도 안 사라짐(1회)
SYS01875	화염방지
SYS01882	×혜안
SYS01917	회심 일격이 잘 나옴
SYS01919	최대 HP 증가
SYS01938	장비 무기로\n2회 연속 공격\n
SYS01944	장비 무기로\n필살의 일격\n
SYS01950	장비 무기로\n팔방향 공격\n
SYS01957	투구깸
SYS01990	뒤치기
SYS01999	돌진
SYS02002	기합던짐
SYS02005	팔방던짐
SYS02007	인접 8방향 적을 날림\n
SYS02008	받아넘김
SYS02023	막던짐
SYS02024	막던짐
SYS02026	×한번던짐
SYS02027	한번던짐
SYS02029	돈던짐
SYS02030	돈던짐
SYS02032	금화던짐
SYS02035	대금던짐
SYS02038	실명
SYS02044	범속임수
SYS02045	범속임수
SYS02064	방 안 적에게\n암석 낙하\n
SYS02065	훔침
SYS02074	귀화
SYS02075	귀화
SYS02083	높이뜀
SYS02085	높이 뛴다\n
SYS02089	덫해제
SYS02091	정면 함정 부수기\n
SYS02092	암석쪼갬
SYS02095	암석붕괴
SYS02098	흥정
SYS02106	HP 전부 회복\n
SYS02113	해주
SYS02116	안개
SYS02119	한입먹기
SYS02146	뇌무효
SYS02155	반사
SYS02167	기명
SYS02174	단지큼
SYS02179	몬스터방
SYS02184	하늘축복
SYS02185	대지축복
SYS02188	끌어올림
SYS02191	단지보호
SYS02202	함정삭제
SYS02217	×못주움
SYS02300	몬스터방
SYS02305	하늘축복
SYS02306	대지축복
SYS02309	끌어올림
SYS02312	단지보호
SYS02314	안날음
SYS02323	함정삭제
SYS02358	흘려보냄
SYS03613	독초 독으로 사망
SYS03614	초불행 씨앗 사망
SYS03626	공복 사망
SYS03631	넘어져 머리 부딪침
SYS03636	함정 밟음
SYS03641	구름돌에 넘어짐
SYS03645	함정 구멍에 빠짐
SYS03656	코가 비밀굴 클리어!
SYS03954	무엇을 쏠까요?
SYS04678	코가 숨은굴
SYS04679	사이국
SYS04721	하늘축복 족자
SYS04727	봉휘두름
SYS04742	마법벽 충돌
SYS04761	주먹밥변화브레스
SYS04766	죽음선고(시작
SYS04767	죽음선고(실행
SYS04778	이빛남
SYS04780	진파치 빛감싸기
SYS04789	삿갓녀 티나 변신
SYS04790	코요리분사
SYS04791	코요리 카구라방화
SYS04794	코요리 영혼 비상
SYS04801	코요리 영혼 추락
SYS04812	비기발동공통
SYS04816	봉귀암파괴후반
SYS04817	코요리 영혼 회전
SYS04818	흑뢰선녀연속번개
SYS04819	흑뢰선녀대형번개
SYS04824	법사봉 빛남(전
SYS04825	법사봉 빛남(후
SYS04838	화살
SYS02422	불꽃 데미지 감소\n
SYS02449	마구 합성이구먼.우히히\n
SYS02505	통목\n
SYS02506	쿠나이 같은 거란다\n
SYS02529	위장이 줄어 최대만복도가\x01\x0B10％\x01\x02\n내려간다\n
SYS02739	돌진이란 적에게 부딪쳐\n공격하는 비기다
SYS03657	사이라이 지상돌파!
SYS03168	아이템을　산다
SYS03169	소지품　판다
SYS03170	에레키상자구입
SYS03171	에레키상자판매
SYS03172	검을　단련한다　
SYS03173	방패를　단련한다
SYS03174	봉을　단련한다　
SYS03175	단지를　단련한다
SYS03176	합성문양　지우기
SYS03177	팔찌　수리하기　
SYS03178	레벨업　시킨다　　
SYS03179	에레키상자　수리　
SYS03180	강화파츠　떼어내기
SYS03181	그만　
SCR00952	　　　　　　1년　전………。　　　　　　　
SCR01388	　　　　　한편　그　무렵………。　　　　　
SCR01695	　　　　　　～운명의　바위～　　　　　　
SCR01696	　　　운명신　리바　님의　신체。　　　　
SCR01698	　　길흉을　점쳤다고　전해진다。　　　
SCR01831	　에테르데빌의　상자를　손에　넣었다。　　
SCR01985	　　　　　한편　그　무렵……。　　　　　
SCR02744	　　　　　　　～운명암～　　　　　　　　
SCR02745	　운명신　리바　님의　신체（神体）。　　
SCR02747	　　길흉을　점쳤다고　전해진다。　　　
SCR02880	　에테르데빌의　박스를　손에　넣었다。　　
SCR03403	　　보름　전　아득한　지하　깊은　곳。　　
SCR03700	　자신의　불행을　저주했다고　한다。　
SCR03927	　보름　전　아득한　지하　깊숙한　곳。　　
SCR04259	　　보름　전　아득한　땅속　깊은　곳。　　
SCR04329	　　　　　　　～쉼바위～　　　　　　　　
SCR04330	　　여행의　신　크론　님의　신체。　　　
SCR04725	　　보름　전　아득한　지하　깊은　곳。　　
SCR06070	　　　　　　1시간　후……。　　　　　　　
SCR07828	　아스카＠는　풍마석을　손에　넣었다。　　
SCR07848	　　　　　한편　그　무렵………。　　　　　
SCR00449	케이타「에―?\x1F\x1E
SCR01352	……미…\x1F\x0F…\x1F\x0F\n미나모\x1F\x0F…\x1F\x0F…。
SCR01364	미안하다\x1F\x0F…\x1F\x0F…\x1F\x0F미나모\x1F\x0F…\x1F\x0F…。
SCR01378	두령「미나모\x1F\x0F…\x1F\x0F…。
SCR01380	미안하다…\x1F\x0F…\x1F\x0F미나모\x1F\x0F…\x1F\x0F…\x1F\x0F\n미안\x1F\x0F하다\x1F\x0F…。
SCR03371	다들넘어지질않나떨어지질않나난리였다고
SCR03583	　도라스　님이　만든「\x01\x07식\x01\x02별의　족자」가　　
SYS03244	이자요이촌
SYS03344	이자요이촌에서
SYS04207	이자요이촌
SYS04213	이자요이촌밤
SYS04214	야카구라촌
SYS04238	3>I이자요이촌
SYS04364	여풍래인「당신이구나\n이자요이촌을 구한 여풍래인은
SYS04689	이자요이촌
SYS02968	레벨  %3d/%3d
SYS02971	힘   %7d
SYS03679	힘    %2d/%2d
SYS02376	초밥의 김말이도 족자도 아닌 나기나타의\n자루를 짧게 만든 듯한 느낌의 엄연한\n무기이다. 이렇다 할 특징은 없지만\n강한 무기를 찾을 때까지의 임시방편은\n된다.
SYS03809	 힘    %3d/%3d
SYS04170	%s에게
SYS03274	뒤로
SYS03798	공격
SYS03800	뒤로
SYS03873	뒤로
SCR03564	파오파왕～「어째서인지는 모르겠지만\n요즘 이 나라를\n뒤덮은 사기가 많아지고 있다.
SCR03566	파오파왕～「호오 그대인가.\n흑뢰선녀를 쓰러뜨렸다는 인간이.
SCR03960	행상인「감사합니다.
SCR03962	행상인「손님 아무것도
SYS03606	마지막으로 등록에 관한 주의사항!\n다른 색 에레키상자 시리즈는\n그중 하나만 등록할 수 있소.
SCR00560	정～～～～～～～～～～～～～～～～～\n～～～～～～～～～～～～～～～～～～～\n～～～～～～～～～～～～～～～말로,
SCR02247	풍래인「켄고의상자인가.이게있으면\n방패는 얼마든지 얻을수있지.레벨업하면\n검이나 팔찌도 얻을수있게되지
SCR03379	아주머니「남정네들은축제를못한다고\n뾰로통해 있는데 그럴 거면 그런대로\n멍석이라도 하나 짜면 좋을 텐데.
SCR04373	아저씨「나는옛이야기를좋아해서말이야\n이 도읍에 전해지는 「천둥마녀와법사」\n이야기 자네도들어보겠나?
SCR04385	경비병「나도 팔마천토벌에가고싶다\n하지만 이 마을을 지키는 게 내 몫이지
SCR04783	신관「황천이란 죽은자의나라를말합니다.\n이곳은 예로부터 황천에가장가까운곳\n이라고 전해지고있지요.
SCR05586	네무리한테대든거\n절―대 후회하게 해줄거니까!\n흐～～～～～～～～～～～～～～응이다!
SCR05802	네무리한테대든거\n절―대 후회하게 해줄거니까!\n흐～～～～～～～～～～～～～～응이다!
SCR06916	　　　　아스카＠는 산주에게\n　　　　500기탄을 도둑맞았다!
SYS00006	%s에게 맞았다!
SYS00011	%s에게 맞았다!
